City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
456,daru,-9.0763,143.2092,28.16,79,100,1.12,PG,1674696461
457,cienfuegos,22.1461,-80.4356,24.08,88,0,1.54,CU,1674696461
458,colares,38.7992,-9.4469,8.94,63,0,9.83,PT,1674696461
459,timizart,36.8,4.2667,8.19,83,89,7.11,DZ,1674696462
460,qax,41.4225,46.9242,-1.45,55,3,1.93,AZ,1674696462
461,arenapolis,-14.4503,-56.8461,23.48,93,100,0.53,BR,1674696462
462,buin,-33.7333,-70.75,25.24,53,0,1.97,CL,1674696463
463,tighina,46.8306,29.4711,-1.57,83,34,1.51,MD,1674696463
464,mafinga,-7.25,35.0667,18.05,98,100,1.49,TZ,1674696463
465,yulara,-25.2406,130.9889,34.15,20,10,3.7,AU,1674696261
466,dwarka,22.2394,68.9678,17.0,37,0,7.64,IN,1674696464
467,ankazobe,-18.3167,47.1167,17.31,96,100,3.5,MG,1674696464
468,xining,36.6167,101.7667,-8.88,26,100,1.23,CN,1674696465
469,conway,35.0887,-92.4421,3.99,87,100,3.6,US,1674696412
470,nadym,65.5333,72.5167,-17.3,91,82,4.55,RU,1674696465
471,svetlyy yar,48.4748,44.781,-11.22,94,9,1.69,RU,1674696465
472,paamiut,61.994,-49.6678,-1.97,96,100,7.13,GL,1674696466
473,fomboni,-12.28,43.7425,28.01,81,100,9.44,KM,1674696466
474,touba,8.2833,-7.6833,23.99,66,24,1.71,CI,1674696466
475,shache,38.4167,77.2406,-13.04,94,97,0.99,CN,1674696467
476,menfi,37.6066,12.9678,7.17,86,98,0.42,IT,1674696467
477,birjand,32.8663,59.2211,-7.74,73,0,2.06,IR,1674696467
478,qaqortoq,60.7167,-46.0333,0.28,99,100,5.17,GL,1674696468
479,patea,-39.7583,174.4833,21.52,62,100,3.94,NZ,1674696468
480,portland,45.5234,-122.6762,8.38,84,100,1.54,US,1674695842
481,robertson,36.5167,-86.8667,4.38,92,100,4.12,US,1674696468
482,santa ines,-3.6667,-45.38,22.63,98,100,1.58,BR,1674696469
483,lebyazhye,55.2689,66.4947,-14.87,94,12,4.28,RU,1674696469
484,ust-maya,60.4167,134.5333,-39.8,95,100,1.09,RU,1674696469
485,ossora,59.2353,163.0719,-9.14,94,100,16.87,RU,1674696470
486,orange cove,36.6244,-119.3137,14.65,76,0,2.57,US,1674696470
487,pervomayskoye,43.919,46.7102,-3.69,86,5,2.31,RU,1674696470
488,ponazyrevo,58.3578,46.3142,-3.14,93,100,5.44,RU,1674696471
489,rocky mountain house,52.3668,-114.9188,3.06,75,100,2.06,CA,1674696471
490,japura,-0.3167,102.35,22.52,97,100,0.99,ID,1674696471
491,chicama,-7.8447,-79.1469,20.3,68,98,2.49,PE,1674696472
492,lazarev,52.225,141.5131,-18.94,78,80,8.54,RU,1674696472
493,talara,-4.5772,-81.2719,24.42,69,0,4.12,PE,1674696472
494,tumen,42.9661,129.8425,-14.05,68,26,1.19,CN,1674696473
495,luanda,-8.8368,13.2343,26.12,83,94,3.17,AO,1674696358
496,santiago del estero,-27.7951,-64.2615,23.46,85,30,2.95,AR,1674696467
497,wattegama,6.7989,81.4808,20.46,92,100,1.71,LK,1674696473
498,isangel,-19.55,169.2667,32.06,62,40,2.06,VU,1674696474
499,cascas,-7.4833,-78.8167,19.82,73,100,1.5,PE,1674696474
500,goderich,43.7501,-81.7165,-0.61,100,100,4.63,CA,1674696284
501,svarstad,59.399,9.9698,3.79,1,3,2.68,NO,1674696475
502,bajos de haina,18.4154,-70.0332,24.98,83,20,0.0,DO,1674696255
503,spasskoye,44.6108,132.7969,-22.26,92,38,0.95,RU,1674696475
504,zhanaozen,43.3,52.8,-4.28,38,0,2.74,KZ,1674696475
505,la reforma,25.0833,-108.05,19.08,45,100,4.75,MX,1674696476
506,saurimo,-9.6608,20.3916,15.95,96,100,1.32,AO,1674696476
507,kromy,52.6876,35.7667,-5.44,86,5,2.41,RU,1674696476
508,fortuna,40.5982,-124.1573,14.19,80,0,0.0,US,1674696477
509,tual,-5.6667,132.75,27.0,80,100,4.69,ID,1674696477
510,ayia marina,37.75,23.5333,11.39,71,100,2.98,GR,1674696478
511,anchorage,61.2181,-149.9003,4.55,87,100,4.63,US,1674696190
512,karratha,-20.7377,116.8463,33.02,49,30,3.92,AU,1674696478
513,kutum,14.2,24.6667,15.56,19,96,2.72,SD,1674696479
514,cardston,49.2,-113.3019,1.16,86,100,1.54,CA,1674696479
515,demba,-5.51,22.2667,17.38,96,100,0.64,CD,1674696479
516,nelson bay,-32.7167,152.15,31.16,73,0,3.58,AU,1674696479
517,milkovo,54.7167,158.6167,-1.21,86,100,13.43,RU,1674696480
518,sao felix do xingu,-6.6447,-51.995,21.98,98,100,0.53,BR,1674696480
519,filingue,14.3521,3.3168,23.75,13,3,3.13,NE,1674696480
520,hualmay,-11.0964,-77.6139,22.38,78,100,3.22,PE,1674696481
521,santa isabel do rio negro,-0.4139,-65.0192,24.07,74,18,1.19,BR,1674696429
522,huicheng,23.0385,116.2899,12.08,55,98,3.67,CN,1674696481
523,gushikawa,26.3544,127.8686,18.57,59,0,4.63,JP,1674696482
524,mailsi,29.8003,72.1758,7.77,52,0,2.85,PK,1674696482
525,eureka,40.8021,-124.1637,14.34,83,0,0.45,US,1674696483
526,galveston,29.3669,-94.9669,10.05,69,0,1.34,US,1674696288
527,tabas,33.5959,56.9244,-1.88,50,0,2.06,IR,1674696484
528,cervo,43.6702,-7.4101,9.98,78,90,4.59,ES,1674696486
529,pudozh,61.8099,36.5345,1.05,99,100,5.31,RU,1674696487
530,hobyo,5.3505,48.5268,24.34,68,0,8.75,SO,1674696488
531,quatre cocos,-20.2078,57.7625,23.38,93,100,7.13,MU,1674696488
